LID,BPID,FPID,BLID,FLID
3,5,6,0,0
5,8,9,0,0
6,10,11,0,0
7,12,13,0,0
8,14,15,0,0
14,26,27,0,0
15,28,29,0,16
16,29,30,15,17
17,30,39,16,25
21,34,35,0,22
22,35,36,21,23
23,36,38,22,24
24,38,34,23,0
25,39,28,17,0
29,45,46,0,0
30,47,48,0,0
